event,ML_event_mean,ML_event_std,ML_event_median,n_station,distance_min_km,distance_max_km,distance_mean_km,header_ML_mean
20190110120003_ML4.3,11.03942004464608,0.487093051233703,11.057883041429378,6,145.91387939453125,399.0540771484375,233.1520767211914,4.300000190734863
20190112094645_ML3.0,9.646857900472583,0.9321856642364472,9.981350329724217,9,21.187610626220703,194.05812072753906,110.273927476671,3.0
20190114160034_ML3.3,9.69145239184198,0.8541620113322882,9.69145239184198,2,184.56021118164062,231.2349395751953,207.89757537841797,3.299999952316284
20190115182600_ML3.7,10.485750457313177,0.5453894288499538,10.670801348838292,5,135.19187927246094,232.75543212890625,190.4478759765625,3.700000047683716
20190117053501_ML3.7,10.232596177033745,1.1874372646557634,10.580144613555618,9,87.17134857177734,287.5003662109375,171.770391676161,3.700000047683716
20190128081000_ML3.0,9.307256752739189,0.5116624868641007,9.307256752739189,2,45.17228317260742,124.50818634033203,84.84023475646973,3.0
20190212123259_ML3.5,10.143092916381704,0.49244178593073523,10.428538535450048,5,141.65846252441406,238.4384307861328,194.80033264160156,3.5
20190212144618_ML4.2,11.175100814178334,0.2753154899793832,11.12936541025365,6,199.40333557128906,572.3983764648438,307.7398732503255,4.199999809265137
20190213092840_ML3.6,10.36037883162732,0.4770316415088422,10.498562185153043,5,163.07643127441406,293.8431396484375,231.08684692382812,3.5999999046325684
20190217072114_ML3.3,10.280606613904672,0.0478565159829155,10.256669991720962,3,126.64521026611328,178.1627197265625,155.68019358317056,3.299999952316284
20190217083632_ML3.5,10.116915545033484,0.5777440668180456,10.454241249317693,5,142.58990478515625,240.13121032714844,197.4870635986328,3.5
20190223183754_ML3.6,10.287926260807051,0.5911647889010133,10.543366210408815,4,136.32382202148438,233.46014404296875,181.05563735961914,3.5999999046325684
20190329060221_ML3.6,10.239993331760584,0.6683042476961284,10.57365372177484,3,148.54820251464844,257.22802734375,192.36552937825522,3.5999999046325684
20190331071001_ML3.9,10.602140645250373,0.6773165399530223,10.832446122040173,3,142.32411193847656,230.31369018554688,172.09645080566406,3.9000000953674316
20190422182100_ML3.7,10.36857064011943,0.316361457189382,10.452435678272744,7,189.9635009765625,305.66558837890625,238.25038146972656,3.700000047683716
20190516163614_ML3.3,10.01637647470372,0.631422348453889,10.15810905447309,3,85.1279067993164,173.78810119628906,115.9447530110677,3.299999952316284
20190521104755_ML4.0,9.984016300429245,1.299363543956452,10.527120511057484,7,26.71355438232422,237.20010375976562,108.19408362252372,4.0
20190522235118_ML3.6,9.763495497931373,0.0951634936570986,9.783081686315217,3,146.9275360107422,242.38229370117188,202.4092814127604,3.5999999046325684
20190527233039_ML3.4,10.40161460720066,0.1188353348403256,10.40161460720066,2,166.81211853027344,179.79534912109375,173.3037338256836,3.4000000953674316
20190622104124_ML3.7,10.4668641264267,0.6014923310087102,10.741889719403297,3,82.80500030517578,110.37771606445312,93.83521270751953,3.700000047683716
20190701111450_ML3.3,8.52949411266866,0.7698624554597072,8.928514201535442,3,34.02095413208008,61.81903839111328,48.0828742980957,3.299999952316284
20190714014956_ML3.5,9.703780798814082,1.1273961268869983,10.313533572576418,8,33.68833541870117,183.01864624023438,95.721604347229,3.5
20190714151156_ML3.6,10.485311042478006,0.4395206016884995,10.512516556403922,8,81.56531524658203,358.1656799316406,217.9470796585083,3.5999999046325684
20190720225038_ML3.8,10.34394996650596,0.756563056011158,10.569643999922386,3,164.8399200439453,274.7142333984375,207.9639689127604,3.799999952316284
