[OK] 20110428_020153_M3.3 | SPVB.HHE..SAC | unit=m | phase_source=header_PS | dist=65.096 km | maxdisp=2.758995e+06 mm | maxvel=5.572900e+07 mm
[OK] 20110428_020153_M3.3 | SPVB.HHN..SAC | unit=m | phase_source=header_PS | dist=65.096 km | maxdisp=1.737344e+06 mm | maxvel=3.628800e+07 mm
[OK] 20110428_020153_M3.3 | SPVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=65.096 km | maxdisp=2.108157e+06 mm | maxvel=4.940500e+07 mm
[OK] 20110428_020153_M3.3 | TGVB.HHE..SAC | unit=m | phase_source=header_PS | dist=34.259 km | maxdisp=5.588110e+06 mm | maxvel=6.110000e+07 mm
[OK] 20110428_020153_M3.3 | TGVB.HHN..SAC | unit=m | phase_source=header_PS | dist=34.259 km | maxdisp=2.228603e+06 mm | maxvel=4.700400e+07 mm
[OK] 20110428_020153_M3.3 | TGVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=34.259 km | maxdisp=3.005400e+06 mm | maxvel=4.041600e+07 mm
[OK] 20110428_020153_M3.3 | TTVB.HHE..SAC | unit=m | phase_source=header_PS | dist=99.139 km | maxdisp=1.191893e+06 mm | maxvel=1.625700e+07 mm
[OK] 20110428_020153_M3.3 | TTVB.HHN..SAC | unit=m | phase_source=header_PS | dist=99.139 km | maxdisp=6.362393e+05 mm | maxvel=1.550100e+07 mm
[OK] 20110428_020153_M3.3 | TTVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=99.139 km | maxdisp=1.442071e+06 mm | maxvel=2.142000e+07 mm
[OK] 20110524_000300_M3.1 | DHVB.HHE..SAC | unit=m | phase_source=header_PS | dist=187.236 km | maxdisp=9.372418e+05 mm | maxvel=1.168900e+07 mm
[OK] 20110524_000300_M3.1 | DHVB.HHN..SAC | unit=m | phase_source=header_PS | dist=187.236 km | maxdisp=1.053200e+06 mm | maxvel=1.155100e+07 mm
[OK] 20110524_000300_M3.1 | DHVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=187.236 km | maxdisp=1.472524e+05 mm | maxvel=1.313300e+07 mm
[OK] 20110524_000300_M3.1 | HGVB.HHE..SAC | unit=m | phase_source=header_PS | dist=115.853 km | maxdisp=1.068634e+06 mm | maxvel=6.999000e+06 mm
[OK] 20110524_000300_M3.1 | HGVB.HHN..SAC | unit=m | phase_source=header_PS | dist=115.853 km | maxdisp=1.444829e+06 mm | maxvel=7.963000e+06 mm
[OK] 20110524_000300_M3.1 | HGVB.HHZ..SAC | unit=m | phase_source=header_PS | dist=115.853 km | maxdisp=3.672746e+05 mm | maxvel=1.296500e+07 mm
