EVENT,filename,distance,maxdisp,LogA0Huton83,LogA0Le08,LogA0Nguyen11,MLHuton83,MLLe08,MLNguyen11
20110317_181056_M3.1,DBVB.HHE..SAC,196.02003479003906,8157401.379716497,-3.5059313785049824,-3.5203283509663508,-3.554692420472324,7.736483210520049,13.609880182981417,7.112680568697238
20110317_181056_M3.1,DBVB.HHN..SAC,196.02003479003906,5385070.925990694,-3.5059313785049824,-3.5203283509663508,-3.554692420472324,7.55612280620649,13.42951977866786,6.948793722512368
20110317_181056_M3.1,DBVB.HHZ..SAC,196.02003479003906,6318955.891985519,-3.5059313785049824,-3.5203283509663508,-3.554692420472324,7.625576702387066,13.498973674848434,7.230012403811616
20110317_181056_M3.1,HBVB.HHE..SAC,247.9779815673828,309392.9718973854,-3.7174769491527493,-3.7448214741212134,-3.7573082611913424,6.526987393290337,12.413331918258798,7.192355902531306
20110317_181056_M3.1,HBVB.HHN..SAC,247.9779815673828,439984.70182876143,-3.7174769491527493,-3.7448214741212134,-3.7573082611913424,6.679914525577905,12.566259050546368,7.3477042083753545
20110317_181056_M3.1,HBVB.HHZ..SAC,247.9779815673828,321035.3457626574,-3.7174769491527493,-3.7448214741212134,-3.7573082611913424,6.543029799702831,12.429374324671294,7.720859994765437
20110317_181056_M3.1,HGVB.HHE..SAC,85.02090454101562,549066.8007887126,-2.893463060040291,-2.89350568264868,-2.8701847889513292,5.952088245016915,11.811130867625305,7.116018124048654
20110317_181056_M3.1,HGVB.HHN..SAC,85.02090454101562,638429.1421968399,-2.893463060040291,-2.89350568264868,-2.8701847889513292,6.017575762954415,11.876618385562805,7.188456869162955
20110317_181056_M3.1,HGVB.HHZ..SAC,85.02090454101562,390806.3133482719,-2.893463060040291,-2.89350568264868,-2.8701847889513292,5.80442463102912,11.663467253637508,7.123401601453459
20110317_181056_M3.1,SPVB.HHE..SAC,55.93606948852539,922918.1595786538,-2.636657231544308,-2.640922082379859,-2.539833299631187,5.920820422906912,11.784085273742463,7.026419614774451
20110317_181056_M3.1,SPVB.HHN..SAC,55.93606948852539,396312.2759652778,-2.636657231544308,-2.640922082379859,-2.539833299631187,5.55369475656941,11.41695960740496,6.868457507121395
20110317_181056_M3.1,SPVB.HHZ..SAC,55.93606948852539,689370.109071858,-2.636657231544308,-2.640922082379859,-2.539833299631187,5.7941096801164065,11.657374530951957,7.00594432212098
20110317_181056_M3.1,TGVB.HHE..SAC,154.43890380859375,255327.69813731543,-3.3124094767261734,-3.318452588008401,-3.354567349898936,6.038507406672242,11.903550517954468,6.580651465874761
20110317_181056_M3.1,TGVB.HHN..SAC,154.43890380859375,318073.74668280536,-3.3124094767261734,-3.318452588008401,-3.354567349898936,6.1339373013151,11.998980412597327,6.721736838433618
20110317_181056_M3.1,TGVB.HHZ..SAC,154.43890380859375,306770.1114913388,-3.3124094767261734,-3.318452588008401,-3.354567349898936,6.118222520899133,11.98326563218136,6.449038478540581
20110317_181056_M3.1,TTVB.HHE..SAC,149.4623260498047,398173.6556902993,-3.287214024086228,-3.292425904501705,-3.3274271385423293,6.206286546561106,12.070498426976583,6.7395515447156455
20110317_181056_M3.1,TTVB.HHN..SAC,149.4623260498047,631238.3302410903,-3.287214024086228,-3.292425904501705,-3.3274271385423293,6.406407386446615,12.270619266862091,6.929378542675851
20110317_181056_M3.1,TTVB.HHZ..SAC,149.4623260498047,312064.008120604,-3.287214024086228,-3.292425904501705,-3.3274271385423293,6.1004577063177745,11.964669586733251,6.958058382562829
20110327_034351_M3.3,CBVB.HHN..SAC,229.46463012695312,424267.5709922012,-3.6450826362278286,-3.66756657795135,-3.689788431831139,6.5917224738455555,12.473206415569075,6.550725052531233
